"PRODUCT_NAME","DEPARTMENT","CATEGORY","SUBCATEGORY","SKU","BRAND","PRICE_CURRENT","PRICE_RETAIL","REVIEW_RATING","REVIEW_COUNT","COLOR","RunDate"
"Butte Waterproof Boot","Men","Shoes","Boots","2897068","UGG®",224.95,224.95,4.8,877,"WCT","2022-03-13 08:11:45"
"Neumel Chukka Boot","Men","Shoes","Boots","3242739","UGG®",130.00,130.00,4.9,3561,"219","2022-03-13 08:11:45"
"'1460' Boot","Men","Shoes","Boots","3301656","Dr. Martens",150.00,150.00,4.3,36,"006","2022-03-13 08:11:45"
"Pampa Hi Canvas Boot","Men","Shoes","Boots","3314509","Palladium",75.00,75.00,4.8,4,"316","2022-03-13 08:11:45"
"'Copeland' Suede Chukka Boot","Men","Shoes","Boots","3504137","Johnston & Murphy",169.00,169.00,4.6,291,"201","2022-03-13 08:11:45"
"6 Inch Premium Waterproof Boot","Men","Shoes","Boots","3729247","Timberland",198.00,198.00,4.7,3147,"001","2022-03-13 08:11:45"
"Riley Diversa Chelsea Boot","Men","Shoes","Boots","5271275","Magnanni",399.00,399.00,4.7,9,"230","2022-03-13 08:11:45"
"Chuck Taylor® All Star® Lugged Boot","Men","Shoes","Boots","5355855","Converse",70.00,70.00,4.8,255,"001","2022-03-13 08:11:45"
"'2976' Chelsea Boot","Men","Shoes","Boots","5437500","Dr. Martens",150.00,150.00,4.8,8,"002","2022-03-13 08:11:45"
"Kalia Puki Chukka Boot","Men","Shoes","Boots","5480449","OluKai",165.00,165.00,5.0,1,"300","2022-03-13 08:11:45"
"Marson Water Resistant Chelsea Boot","Men","Shoes","Boots","5600872","Ted Baker London",250.00,250.00,5.0,1,"001","2022-03-13 08:11:45"
"Riley Diversa Chelsea Boot","Men","Shoes","Boots","5699500","Magnanni",399.00,399.00,4.7,9,"001","2022-03-13 08:11:45"
"Osborn Plain Toe Chukka Boot","Men","Shoes","Boots","5706231","Cole Haan",180.00,180.00,3.0,2,"215","2022-03-13 08:11:45"
"Blundstone Classic 550 Series Water Resistant Chelsea Boot","Men","Shoes","Boots","5724059","Blundstone Footwear",209.95,209.95,2.3,3,"200","2022-03-13 08:11:45"
"UGG Emmett Waterproof Snow Boot","Men","Shoes","Boots","5737778","UGG®",130.00,130.00,4.7,116,"001","2022-03-13 08:11:45"
"Butte Waterproof Chelsea Boot","Men","Shoes","Boots","5741090","UGG®",89.96,179.95,4.3,19,"201","2022-03-13 08:11:45"
"XC Flex Cody Wingtip Boot","Men","Shoes","Boots","5745357","Johnston & Murphy",199.00,199.00,4.7,50,"206","2022-03-13 08:11:45"
"Magog Waterproof Boot","Men","Shoes","Boots","5765826","Kodiak",175.00,175.00,0.0,0,"210","2022-03-13 08:11:45"
"Hyrid Gore-Tex® Waterproof Chukka Boot","Men","Shoes","Boots","5866858","ECCO",249.95,249.95,5.0,1,"001","2022-03-13 08:11:45"
"Warner GrandPro Waterproof Chukka Boot","Men","Shoes","Boots","5881262","Cole Haan",200.00,200.00,5.0,1,"001","2022-03-13 08:11:45"
"Mason Water Resistant Chelsea Boot","Men","Shoes","Boots","5903836","Nordstrom",95.96,119.95,3.2,5,"235","2022-03-13 08:11:45"
"CityTray Avant Boot","Men","Shoes","Boots","5909243","ECCO",199.95,199.95,5.0,1,"200","2022-03-13 08:11:45"
"UA Charged Bandit Trek 2 Hiking Shoes","Men","Shoes","Boots","5927323","Under Armour",82.50,110.00,4.5,19,"001","2022-03-13 08:11:45"
"Combs Tech Boot","Men","Shoes","Boots","5933185","Dr. Martens",100.00,100.00,5.0,1,"001","2022-03-13 08:11:45"
"Neumel Chelsea Boot","Men","Shoes","Boots","5934195","UGG®",130.00,130.00,4.7,36,"001","2022-03-13 08:11:45"
"Classic Mini Lace-Up Waterproof Winter Boot","Men","Shoes","Boots","5935529","UGG®",180.00,180.00,4.7,19,"210","2022-03-13 08:11:45"
"Alonzo Chukka Boot","Men","Shoes","Boots","5954133","To Boot New York",350.00,350.00,0.0,0,"243","2022-03-13 08:11:45"
"Soft 7 Tred Water Repellent Bootie","Men","Shoes","Boots","5958069","ECCO",179.95,179.95,0.0,0,"470","2022-03-13 08:11:45"
"Williams Boot","Men","Shoes","Boots","6087925","Gordon Rush",159.00,265.00,5.0,1,"001","2022-03-13 08:11:45"
"Morrison Chelsea Boot","Men","Shoes","Boots","6087933","Gordon Rush",159.00,265.00,1.0,1,"001","2022-03-13 08:11:45"
"6-Inch Premium Waterproof Boot","Men","Shoes","Boots","6143023","Timberland",198.00,198.00,4.7,2698,"WHE","2022-03-13 08:11:45"
"6-Inch Waterproof Bean Boot","Men","Shoes","Boots","6143506","L.L.Bean",129.00,129.00,4.6,904,"230","2022-03-13 08:11:45"
"Port Union Waterproof Chukka Boot","Men","Shoes","Boots","6151709","Timberland",99.00,165.00,4.5,73,"200","2022-03-13 08:11:45"
"1460 Bex Smooth Plain Toe Boot","Men","Shoes","Boots","6290700","Dr. Martens",160.00,160.00,0.0,0,"020","2022-03-13 08:11:45"
"Knox Cap Toe Genuine Shearling Lined Boot","Men","Shoes","Boots","6409715","Johnston & Murphy",295.00,295.00,0.0,0,"001","2022-03-13 08:11:45"
