"PRODUCT_NAME","DEPARTMENT","CATEGORY","SUBCATEGORY","SKU","BRAND","PRICE_CURRENT","PRICE_RETAIL","REVIEW_RATING","REVIEW_COUNT","COLOR","RunDate"
"'Traveler' Slip-On","Women","Shoes","Flats","3234591","Munro",184.95,184.95,4.4,233,"001","2022-03-13 08:11:45"
"Right Nina Leather Ballerina Flat","Women","Shoes","Flats","3887420","Camper",145.00,145.00,4.3,43,"001","2022-03-13 08:11:45"
"Minnie Travel Ballet Flat","Women","Shoes","Flats","3979217","Tory Burch",228.00,228.00,4.7,3578,"006","2022-03-13 08:11:45"
"Gigi Crystal Pointed Toe Flat","Women","Shoes","Flats","4413571","Badgley Mischka Collection",185.00,185.00,4.5,177,"004","2022-03-13 08:11:45"
"Samantha Half d'Orsay Flat","Women","Shoes","Flats","4549657","Naturalizer",99.00,99.00,4.3,336,"002","2022-03-13 08:11:45"
"Allegro Ballet Flat","Women","Shoes","Flats","5105509","FitFlop",100.00,100.00,4.0,379,"001","2022-03-13 08:11:45"
"Kimmy Flat","Women","Shoes","Flats","5112062","Miz Mooz",109.95,109.95,4.2,15,"001","2022-03-13 08:11:45"
"Starling Loafer","Women","Shoes","Flats","5223598","Birdies",130.00,130.00,3.8,29,"250","2022-03-13 08:11:45"
"Merida Flat","Women","Shoes","Flats","5452727","PIKOLINOS",160.00,160.00,4.6,7,"001","2022-03-13 08:11:45"
"Simpil Loafer","Women","Shoes","Flats","5508564","ECCO",99.95,99.95,3.4,13,"100","2022-03-13 08:11:45"
"Ruby Quilted Logo Loafer","Women","Shoes","Flats","5589339","Tory Burch",298.00,298.00,4.8,29,"006","2022-03-13 08:11:45"
"Havana Pointed Toe Flat","Women","Shoes","Flats","5595803","Naturalizer",120.00,120.00,4.5,25,"002","2022-03-13 08:11:45"
"Student Platform Loafer","Women","Shoes","Flats","5613623","Jeffrey Campbell",127.46,169.95,3.5,29,"535","2022-03-13 08:11:45"
"Georgia Square Toe Ballet Flat","Women","Shoes","Flats","5700220","Tory Burch",248.00,248.00,4.5,107,"006","2022-03-13 08:11:45"
"Willa Loafer","Women","Shoes","Flats","5716737","Vionic",129.95,129.95,4.2,66,"020","2022-03-13 08:11:45"
"Marley Driving Moccasin","Women","Shoes","Flats","5717983","COACH",130.00,130.00,3.9,12,"001","2022-03-13 08:11:45"
"Brin Ballet Flat","Women","Shoes","Flats","5743311","Børn",84.95,84.95,4.1,14,"250","2022-03-13 08:11:45"
"Kaula Pa'a Kapa Convertible Espadrille","Women","Shoes","Flats","5748796","OluKai",100.00,100.00,4.9,10,"009","2022-03-13 08:11:45"
"Hill Pointy Toe Flat","Women","Shoes","Flats","5763482","Zodiac",78.95,78.95,4.2,40,"001","2022-03-13 08:11:45"
"Mara Loafer","Women","Shoes","Flats","5784694","AGL",399.00,399.00,4.1,8,"001","2022-03-13 08:11:45"
"Samantha Half d'Orsay Flat","Women","Shoes","Flats","5816940","Naturalizer",99.00,99.00,4.3,237,"250","2022-03-13 08:11:45"
"Beale Flat","Women","Shoes","Flats","5817038","Naturalizer",120.00,120.00,4.3,28,"001","2022-03-13 08:11:45"
"Angel Pointed Toe Flat","Women","Shoes","Flats","5896050","Calvin Klein",48.97,99.00,2.5,4,"150","2022-03-13 08:11:45"
"Pure Easy Loafer","Women","Shoes","Flats","5899260","Clarks®",110.00,110.00,4.2,28,"238","2022-03-13 08:11:45"
"The Skim Flat","Women","Shoes","Flats","5899364","Rebecca Allen",150.00,150.00,4.3,7,"269","2022-03-13 08:11:45"
"Huarache Flat","Women","Shoes","Flats","5913563","Nisolo",130.00,130.00,4.3,19,"270","2022-03-13 08:11:45"
"Ankle Strap Pointed Toe Flat","Women","Shoes","Flats","5915169","Jewel Badgley Mischka",99.00,99.00,4.8,4,"711","2022-03-13 08:11:45"
"Viola Skimmer Flat","Women","Shoes","Flats","6090841","Cole Haan",150.00,150.00,4.5,8,"600","2022-03-13 08:11:45"
"Match Cutout Wedge Oxford","Women","Shoes","Flats","6458757","Eileen Fisher",225.00,225.00,5.0,1,"600","2022-03-13 08:11:45"
"Nora Pointed Toe Flat","Women","Shoes","Flats","6465879","Linea Paolo",129.95,129.95,4.8,4,"001","2022-03-13 08:11:45"
"Diana Slingback Pointed Toe Flat","Women","Shoes","Flats","6465890","Linea Paolo",119.95,119.95,3.0,1,"001","2022-03-13 08:11:45"
"Avrie Slingback Flat","Women","Shoes","Flats","6482251","27 EDIT Naturalizer",120.00,120.00,3.5,2,"001","2022-03-13 08:11:45"
"Corrine Knit Flat","Women","Shoes","Flats","6505803","MIA",39.99,59.99,3.9,7,"249","2022-03-13 08:11:45"
"Starling Disco Ball Glitter Flat","Women","Shoes","Flats","6506099","Birdies",95.00,140.00,4.0,3,"001","2022-03-13 08:11:45"
"Juliana Pointed Toe Lace Flat","Women","Shoes","Flats","6509354","Jewel Badgley Mischka",89.00,89.00,5.0,1,"900","2022-03-13 08:11:45"
"Vae Slingback Skimmer Flat","Women","Shoes","Flats","6533028","COACH",135.00,135.00,0.0,0,"001","2022-03-13 08:11:45"
"Georgia Ballet Flat","Women","Shoes","Flats","6545728","Tory Burch",248.00,248.00,4.5,11,"004","2022-03-13 08:11:45"
"Ballet Loafer","Women","Shoes","Flats","6545910","Tory Burch",298.00,298.00,4.9,46,"200","2022-03-13 08:11:45"
"Wanda Pointed Toe Flat","Women","Shoes","Flats","6573392","Sam Edelman",120.00,120.00,3.0,2,"250","2022-03-13 08:11:45"
"Zeldi Loafer","Women","Shoes","Flats","6591783","BCBGeneration",89.00,89.00,5.0,1,"270","2022-03-13 08:11:45"
"Zorie Bit Mule","Women","Shoes","Flats","6591807","BCBGeneration",89.00,89.00,5.0,1,"270","2022-03-13 08:11:45"
"Ingle Ankle Strap Flat","Women","Shoes","Flats","6620594","Eileen Fisher",195.00,195.00,0.0,0,"710","2022-03-13 08:11:45"
"Whitney Pointed Toe Flat","Women","Shoes","Flats","6621559","Sam Edelman",120.00,120.00,3.7,3,"900","2022-03-13 08:11:45"
"Tucker Loafer","Women","Shoes","Flats","6639825","Sam Edelman",130.00,130.00,5.0,2,"300","2022-03-13 08:11:45"
"Riva Flat","Women","Shoes","Flats","6653808","SARTO by Franco Sarto",130.00,130.00,0.0,0,"001","2022-03-13 08:11:45"
"Frey Waterproof Loafer","Women","Shoes","Flats","6657431","Blondo",99.95,99.95,3.7,3,"430","2022-03-13 08:11:45"
"Tully Driver Shoe","Women","Shoes","Flats","6669410","Cole Haan",130.00,130.00,0.0,0,"250","2022-03-13 08:11:45"
"True Colors Maxwell Flat","Women","Shoes","Flats","6681206","Naturalizer",95.00,95.00,0.0,0,"255","2022-03-13 08:11:45"
"Lori Espadrille Flat","Women","Shoes","Flats","6691830","Paul Green",339.00,339.00,0.0,0,"001","2022-03-13 08:11:45"
"Lil Flat","Women","Shoes","Flats","6691833","Paul Green",369.00,369.00,0.0,0,"284","2022-03-13 08:11:45"
"Mareva Ballerina Flat","Women","Shoes","Flats","6691973","Paul Green",345.00,345.00,0.0,0,"001","2022-03-13 08:11:45"
"Elanndo Square Toe Ballet Flat","Women","Shoes","Flats","6713593","Vince Camuto",88.95,88.95,4.8,6,"500","2022-03-13 08:11:45"
"Ankle Strap Pointed Toe Flat","Women","Shoes","Flats","6713766","Jewel Badgley Mischka",49.50,99.00,4.8,4,"418","2022-03-13 08:11:45"
"Emenlyn Loafer","Women","Shoes","Flats","6748569","Vince Camuto",110.00,110.00,5.0,4,"001","2022-03-13 08:11:45"
"Jutti Neat Flat","Women","Shoes","Flats","6762240","TOMS",89.95,89.95,0.0,0,"103","2022-03-13 08:11:45"
"Elanna Leather Chain Link Loafer","Women","Shoes","Flats","6778364","Calvin Klein",59.40,89.00,4.0,3,"600","2022-03-13 08:11:45"
"Demi Knit Flat","Women","Shoes","Flats","6823072","Eileen Fisher",84.00,140.00,5.0,1,"001","2022-03-13 08:11:45"
"Viola Skimmer Flat","Women","Shoes","Flats","6835093","Cole Haan",120.00,150.00,4.5,8,"405","2022-03-13 08:11:45"
"Brixton Horsebit Convertible Loafer","Women","Shoes","Flats","4178560","Gucci",880.00,880.00,4.7,220,"001","2022-03-13 08:11:45"
"Alpargata Slip-On","Women","Shoes","Flats","4858651","TOMS",59.95,59.95,4.4,41,"410","2022-03-13 08:11:45"
"Anna Ballerina Flat","Women","Shoes","Flats","4958185","Minnetonka",62.95,62.95,4.3,34,"100","2022-03-13 08:11:45"
"Pilar GG Matelassé Chevron Flat Espadrille","Women","Shoes","Flats","5115459","Gucci",710.00,710.00,3.9,45,"001","2022-03-13 08:11:45"
"Fenja 01 Flat","Women","Shoes","Flats","5137317","Josef Seibel",119.95,119.95,4.7,23,"004","2022-03-13 08:11:45"
"Alba Skimmer","Women","Shoes","Flats","5160583","Lucky Brand",68.95,68.95,4.4,58,"250","2022-03-13 08:11:45"
"Delorse Flat","Women","Shoes","Flats","5172333","Spring Step",129.95,129.95,4.0,13,"650","2022-03-13 08:11:45"
"Robyn Flat","Women","Shoes","Flats","5356821","Vionic",119.95,119.95,4.4,130,"040","2022-03-13 08:11:45"
"Jessa Loafer","Women","Shoes","Flats","5376062","Tory Burch",328.00,328.00,4.8,65,"902","2022-03-13 08:11:45"
"Monogramme Logo Espadrille","Women","Shoes","Flats","5446409","Saint Laurent",495.00,495.00,4.1,42,"159","2022-03-13 08:11:45"
"Cherie Suede Flat","Women","Shoes","Flats","5519320","Miz Mooz",69.95,69.95,5.0,1,"001","2022-03-13 08:11:45"
"Cleo Ankle Strap Espadrille Flat","Women","Shoes","Flats","5519398","Miz Mooz",69.95,69.95,5.0,2,"001","2022-03-13 08:11:45"
"Jerez Perforated Loafer","Women","Shoes","Flats","5556591","PIKOLINOS",160.00,160.00,5.0,2,"200","2022-03-13 08:11:45"
"Princetown Mule","Women","Shoes","Flats","5666363","Gucci",820.00,820.00,4.2,35,"001","2022-03-13 08:11:45"
"Brixton Horsebit & Web Convertible Loafer","Women","Shoes","Flats","5666365","Gucci",880.00,880.00,4.9,16,"001","2022-03-13 08:11:45"
"Seaport Penny Loafer","Women","Shoes","Flats","5713635","Sperry",84.00,119.95,4.4,63,"260","2022-03-13 08:11:45"
"Lena Pointed Toe Flat","Women","Shoes","Flats","5716736","Vionic",119.95,119.95,3.4,49,"291","2022-03-13 08:11:45"
"Ronnie Platform Loafer","Women","Shoes","Flats","5792420","Aerosoles",120.00,120.00,3.0,2,"002","2022-03-13 08:11:45"
"Marley Driving Moccasin","Women","Shoes","Flats","5877383","COACH",130.00,130.00,0.0,0,"200","2022-03-13 08:11:45"
"Ferris Flat","Women","Shoes","Flats","5884836","Marc Joseph New York",109.00,154.95,3.0,1,"001","2022-03-13 08:11:45"
