"PRODUCT_NAME","DEPARTMENT","CATEGORY","SUBCATEGORY","SKU","BRAND","PRICE_CURRENT","PRICE_RETAIL","REVIEW_RATING","REVIEW_COUNT","COLOR","RunDate"
"Modern Femme Denim Miniskirt","Women","Clothing","Skirts","4975205","Free People",50.00,50.00,3.8,5,"001","2022-03-13 08:11:45"
"Zoe Side Slit Midi Skirt","Women","Clothing","Skirts","5102561","Reformation",148.00,148.00,4.4,29,"302","2022-03-13 08:11:45"
"Flounce Skirt","Women","Clothing","Skirts","5299723","Reformation",98.00,98.00,4.4,15,"010","2022-03-13 08:11:45"
"Roll Top Maxi Skirt","Women","Clothing","Skirts","5338981","Loveappella",49.00,49.00,4.0,12,"420","2022-03-13 08:11:45"
"Roll Top Maxi Skirt","Women","Clothing","Skirts","5399267","Loveappella",49.00,49.00,4.2,31,"930","2022-03-13 08:11:45"
"Tiered Stretch Cotton Maxi Skirt","Women","Clothing","Skirts","5624671","STAUD",225.00,225.00,4.0,1,"650","2022-03-13 08:11:45"
"JEN7 Frayed Denim Pencil Skirt","Women","Clothing","Skirts","5740086","JEN7 by 7 For All Mankind",79.00,79.00,5.0,4,"101","2022-03-13 08:11:45"
"Club Tennis Skirt","Women","Clothing","Skirts","5743387","Nike",70.00,70.00,4.3,7,"010","2022-03-13 08:11:45"
"Alexis Faux Leather Miniskirt","Women","Clothing","Skirts","5769250","Bardot",69.00,69.00,0.0,0,"001","2022-03-13 08:11:45"
"Side Ruched Skirt","Women","Clothing","Skirts","5829292","Open Edit",45.00,45.00,4.0,8,"001","2022-03-13 08:11:45"
"Ruched Side Tie Skirt","Women","Clothing","Skirts","5897757","Open Edit",59.00,59.00,4.0,1,"001","2022-03-13 08:11:45"
"Zip Suede Miniskirt","Women","Clothing","Skirts","5918031","BLANKNYC",68.60,98.00,3.6,16,"070","2022-03-13 08:11:45"
"BB Dakota Basel Faux Leather Miniskirt","Women","Clothing","Skirts","5920650","BB Dakota by Steve Madden",69.00,69.00,3.0,1,"001","2022-03-13 08:11:45"
"Bias Cut Satin Slip Skirt","Women","Clothing","Skirts","5928339","Amy Lynn",75.00,75.00,3.5,2,"540","2022-03-13 08:11:45"
"Satin Midi Skirt","Women","Clothing","Skirts","5944383","Open Edit",34.30,49.00,3.0,3,"900","2022-03-13 08:11:45"
"Linen Blend Drawstring Midi Slip Skirt","Women","Clothing","Skirts","5961302","Madewell",88.00,88.00,0.0,0,"600","2022-03-13 08:11:45"
"Draped Sparkle Midi Skirt","Women","Clothing","Skirts","5965565","Open Edit",41.30,59.00,0.0,0,"001","2022-03-13 08:11:45"
"Midi Sweater Skirt","Women","Clothing","Skirts","6089564","Halogen®",52.93,79.00,3.0,1,"050","2022-03-13 08:11:45"
"Travel Jersey Pencil Skirt","Women","Clothing","Skirts","6090560","Karen Kane",68.00,68.00,3.0,2,"001","2022-03-13 08:11:45"
"Cristina Martinez Print Skirt","Women","Clothing","Skirts","6126148","Nordstrom",63.20,79.00,4.0,2,"610","2022-03-13 08:11:45"
"Sequin Skirt","Women","Clothing","Skirts","6266401","Open Edit",39.20,49.00,3.0,3,"040","2022-03-13 08:11:45"
"Moonstone Stretch Organic Cotton Corduroy Skirt","Women","Clothing","Skirts","6291083","Samsøe Samsøe",56.00,140.00,0.0,0,"301","2022-03-13 08:11:45"
"Spring Ruched Skirt","Women","Clothing","Skirts","6291760","JLUXLABEL",65.00,65.00,4.3,6,"001","2022-03-13 08:11:45"
"Club Tennis Skirt","Women","Clothing","Skirts","6413351","Nike",70.00,70.00,0.0,0,"100","2022-03-13 08:11:45"
"Five-Pocket Ponte Pencil Skirt","Women","Clothing","Skirts","6417397","JEN7 by 7 For All Mankind",89.00,89.00,0.0,0,"004","2022-03-13 08:11:45"
"Cristina Martinez Print Skirt","Women","Clothing","Skirts","6435141","Nordstrom",89.00,89.00,0.0,0,"680","2022-03-13 08:11:45"
"Cloud Skirt","Women","Clothing","Skirts","6462003","SPANX®",98.00,98.00,0.0,0,"019","2022-03-13 08:11:45"
"Denim Miniskirt","Women","Clothing","Skirts","6462178","BP.",39.00,39.00,0.0,0,"450","2022-03-13 08:11:45"
"Textured Midi Skirt","Women","Clothing","Skirts","6507761","Halogen®",49.00,49.00,0.0,0,"002","2022-03-13 08:11:45"
"Lolly Fuzzy Rib Sweater Skirt","Women","Clothing","Skirts","6527441","AFRM",26.97,68.00,0.0,0,"603","2022-03-13 08:11:45"
"Ribbed Maternity Crop Cardigan & Midi Skirt","Women","Clothing","Skirts","6529745","Angel Maternity",69.95,69.95,0.0,0,"001","2022-03-13 08:11:45"
"Steel Fleece Cargo Midi Skirt","Women","Clothing","Skirts","6533509","JLUXLABEL",46.00,46.00,5.0,1,"200","2022-03-13 08:11:45"
"Faux Leather Midi Skirt","Women","Clothing","Skirts","6545560","Naked Wardrobe",62.00,62.00,1.5,2,"001","2022-03-13 08:11:45"
"Dolled Up Sequin Miniskirt","Women","Clothing","Skirts","6551253","Lulus",35.20,44.00,2.3,3,"001","2022-03-13 08:11:45"
"Orchard Floral Tiered Maxi Skirt","Women","Clothing","Skirts","6552646","Madewell",98.00,98.00,0.0,0,"535","2022-03-13 08:11:45"
"Belted Pleated Midi Skirt","Women","Clothing","Skirts","6553782","VICI Collection",74.00,74.00,3.5,2,"930","2022-03-13 08:11:45"
"Printed Midi Skirt","Women","Clothing","Skirts","6567601","BP.",55.00,55.00,0.0,0,"001","2022-03-13 08:11:45"
"Bow Miniskirt","Women","Clothing","Skirts","6567611","BP.",49.00,49.00,0.0,0,"510","2022-03-13 08:11:45"
"Olga Print Slit Skirt","Women","Clothing","Skirts","6592612","VERO MODA",49.00,49.00,4.0,1,"001","2022-03-13 08:11:45"
"Metallic Smock Waist Tiered Cotton Blend Skirt","Women","Clothing","Skirts","6605070","Vince",395.00,395.00,4.3,3,"475","2022-03-13 08:11:45"
"Dani Tulip Skirt","Women","Clothing","Skirts","6606823","VERO MODA",25.00,50.00,0.0,0,"002","2022-03-13 08:11:45"
"Flourishing Dreams High Waist Wrap Skirt","Women","Clothing","Skirts","6629928","Lulus",48.00,48.00,0.0,0,"322","2022-03-13 08:11:45"
"Chloe Pull-On Denim Pencil Skirt","Women","Clothing","Skirts","6651303","Liverpool Los Angeles",68.00,68.00,0.0,0,"420","2022-03-13 08:11:45"
"It's a Wrap Sarong Skirt","Women","Clothing","Skirts","6651802","Becca",58.00,58.00,0.0,0,"100","2022-03-13 08:11:45"
"Cherish Floral Patchwork Maxi Skirt","Women","Clothing","Skirts","6659417","Free People",148.00,148.00,0.0,0,"200","2022-03-13 08:11:45"
"Borderline Knit Wrap Midi Skirt","Women","Clothing","Skirts","6659442","Free People",78.00,78.00,4.5,2,"030","2022-03-13 08:11:45"
"Spring Bananas Miniskirt","Women","Clothing","Skirts","6663824","FARM Rio",140.00,140.00,0.0,0,"900","2022-03-13 08:11:45"
"Hanalei Stripe Cover-Up Pants","Women","Clothing","Skirts","6666777","O'Neill",49.50,49.50,0.0,0,"438","2022-03-13 08:11:45"
"Rosetta Floral Long Skirt","Women","Clothing","Skirts","6686945","Rails",178.00,178.00,0.0,0,"404","2022-03-13 08:11:45"
"Main Squeeze Ruched Midi Skirt","Women","Clothing","Skirts","6690102","WAYF",59.00,59.00,0.0,0,"300","2022-03-13 08:11:45"
"Hanalei Cover-Up Maxi Skirt","Women","Clothing","Skirts","6692198","O'Neill",45.00,45.00,0.0,0,"100","2022-03-13 08:11:45"
"Side Slit Maternity Midi Skirt","Women","Clothing","Skirts","6692212","Angel Maternity",39.00,59.95,0.0,0,"410","2022-03-13 08:11:45"
"Emilia Side Knot Midi Skirt","Women","Clothing","Skirts","6692923","AFRM",78.00,78.00,0.0,0,"001","2022-03-13 08:11:45"
"Varsity Tennis Skirt","Women","Clothing","Skirts","6700503","Alo",68.00,68.00,0.0,0,"100","2022-03-13 08:11:45"
"Aces Tennis Skirt","Women","Clothing","Skirts","6700510","Alo",72.00,72.00,0.0,0,"100","2022-03-13 08:11:45"
"Good Waist Denim Miniskirt","Women","Clothing","Skirts","6702170","Good American",99.00,99.00,0.0,0,"402","2022-03-13 08:11:45"
"Block Print Tiered Linen Midi Skirt","Women","Clothing","Skirts","6715762","Polo Ralph Lauren",248.00,248.00,3.0,1,"300","2022-03-13 08:11:45"
"Mesh Cover-Up Skirt","Women","Clothing","Skirts","6737583","JLUXLABEL",45.00,45.00,0.0,0,"200","2022-03-13 08:11:45"
"Verity Floral Cotton Blend Skirt","Women","Clothing","Skirts","6753536","Ulla Johnson",325.00,325.00,0.0,0,"651","2022-03-13 08:11:45"
"Ianna Botanical Print Cotton Skirt","Women","Clothing","Skirts","6753549","Ulla Johnson",395.00,395.00,0.0,0,"404","2022-03-13 08:11:45"
"Women's Striped Ruffle Tiered Pull-On Midi Skirt","Women","Clothing","Skirts","6759437","Madewell",98.00,98.00,0.0,0,"400","2022-03-13 08:11:45"
"Flare Midi Skirt","Women","Clothing","Skirts","6765572","Eileen Fisher",128.00,128.00,0.0,0,"030","2022-03-13 08:11:45"
"Sadie High Waist Faux Leather Miniskirt","Women","Clothing","Skirts","6768352","VERO MODA",39.00,39.00,0.0,0,"001","2022-03-13 08:11:45"
"Satin Wrap Midi Skirt","Women","Clothing","Skirts","6815838","Topshop",56.00,56.00,0.0,0,"100","2022-03-13 08:11:45"
"Simon Polka Dot Midi Skirt","Women","Clothing","Skirts","6825094","Reformation",148.00,148.00,0.0,0,"100","2022-03-13 08:11:45"
"Houndstooth Body-Con Midi Skirt","Women","Clothing","Skirts","6834482","Naked Wardrobe",39.20,56.00,3.3,3,"001","2022-03-13 08:11:45"
"Flared Maxi Skirt","Women","Clothing","Skirts","3731399","Karen Kane",88.00,88.00,4.4,31,"001","2022-03-13 08:11:45"
"Fringe Miniskirt","Women","Clothing","Skirts","5271980","Endless Rose",64.00,80.00,0.0,0,"100","2022-03-13 08:11:45"
"Pieced Denim Midi Skirt","Women","Clothing","Skirts","5392340","Wash Lab Denim",128.00,128.00,4.7,56,"423","2022-03-13 08:11:45"
"Distressed Fray Hem Denim Skirt","Women","Clothing","Skirts","5528967","Liverpool",68.00,68.00,3.8,5,"420","2022-03-13 08:11:45"
"Alessia Eyelet Cover-Up Maxi Skirt","Women","Clothing","Skirts","5546882","Melissa Odabash",294.00,294.00,5.0,1,"400","2022-03-13 08:11:45"
"Summer Fling Linen Blend Skirt","Women","Clothing","Skirts","5651027","NIC+ZOE",118.00,118.00,4.4,39,"004","2022-03-13 08:11:45"
"Tulip Hem Maxi Skirt","Women","Clothing","Skirts","5737781","Alex Evenings",58.00,58.00,0.0,0,"001","2022-03-13 08:11:45"
"Nike Club Golf Skirt","Women","Clothing","Skirts","5743390","Nike Golf",70.00,70.00,4.0,3,"346","2022-03-13 08:11:45"
"Bias Cut Stretch Silk Skirt","Women","Clothing","Skirts","5816790","Nordstrom Signature",77.40,129.00,3.5,4,"900","2022-03-13 08:11:45"
"Asymmetric Overlap Skirt","Women","Clothing","Skirts","5860187","Vince",165.00,165.00,5.0,1,"001","2022-03-13 08:11:45"
"Faux Wrap Skirt","Women","Clothing","Skirts","5867589","Loveappella",48.00,48.00,0.0,0,"416","2022-03-13 08:11:45"
"Straight Stretch Knit Skirt","Women","Clothing","Skirts","5876882","Susana Monaco",88.00,88.00,0.0,0,"100","2022-03-13 08:11:45"
"Cross Front Cable Skirt","Women","Clothing","Skirts","5952694","Halogen®",59.00,59.00,4.5,2,"001","2022-03-13 08:11:45"
