"PRODUCT_NAME","DEPARTMENT","CATEGORY","SUBCATEGORY","SKU","BRAND","PRICE_CURRENT","PRICE_RETAIL","REVIEW_RATING","REVIEW_COUNT","COLOR","RunDate"
"Mode Slim Fit Wool Cardigan","Men","Clothing","Sweaters","4984937","AllSaints",149.00,149.00,4.0,4,"034","2022-03-13 08:11:45"
"Barefoot Dreams Shawl Collar Cardigan","Men","Clothing","Sweaters","5122774","Barefoot Dreams®",130.00,130.00,5.0,10,"409","2022-03-13 08:11:45"
"Washable Merino V-Neck Sweater","Men","Clothing","Sweaters","5555971","Nordstrom",39.97,79.50,3.0,4,"938","2022-03-13 08:11:45"
"Washable Merino Quarter Zip Sweater","Men","Clothing","Sweaters","5868346","Nordstrom",42.97,85.00,4.5,21,"502","2022-03-13 08:11:45"
"Crown Crewneck Sweater","Men","Clothing","Sweaters","5868815","Peter Millar",100.80,168.00,4.8,42,"022","2022-03-13 08:11:45"
"Stripe Cardigan","Men","Clothing","Sweaters","5928760","Open Edit",34.97,69.00,0.0,0,"250","2022-03-13 08:11:45"
"Men's Space Dye Sweater","Men","Clothing","Sweaters","5929635","Treasure & Bond",29.97,59.50,0.0,0,"410","2022-03-13 08:11:45"
"Space Dye Cotton Sweater","Men","Clothing","Sweaters","5975096","Treasure & Bond",49.50,49.50,5.0,1,"260","2022-03-13 08:11:45"
"Rib Cotton Blend Cardigan","Men","Clothing","Sweaters","6090671","Nordstrom",99.50,99.50,0.0,0,"001","2022-03-13 08:11:45"
"Tipped Merino Wool Blend Cardigan","Men","Clothing","Sweaters","6090673","Nordstrom",69.65,99.50,5.0,1,"001","2022-03-13 08:11:45"
"Second Skin Cotton Blend Crewneck Sweater","Men","Clothing","Sweaters","6092712","Tommy John",70.80,118.00,0.0,0,"061","2022-03-13 08:11:45"
"Cristina Martinez Merino Blend Shawl Collar Cardigan","Men","Clothing","Sweaters","6116032","Nordstrom",62.65,89.50,0.0,0,"001","2022-03-13 08:11:45"
"Mode Slim Fit Wool Cardigan","Men","Clothing","Sweaters","6149414","AllSaints",88.97,149.00,4.0,4,"001","2022-03-13 08:11:45"
"Cristina Martinez Gender Inclusive Varsity Cardigan","Men","Clothing","Sweaters","6432936","Nordstrom",119.50,119.50,0.0,0,"420","2022-03-13 08:11:45"
"Riverbend Half-Zip Pullover","Men","Clothing","Sweaters","6456942","Robert Barakett",87.50,125.00,0.0,0,"450","2022-03-13 08:11:45"
"Bean's Classic Ragg Wool Sweater","Men","Clothing","Sweaters","6457819","L.L.Bean",49.99,79.00,4.0,1,"410","2022-03-13 08:11:45"
"Men's Classic Ragg Wool Crewneck Sweater","Men","Clothing","Sweaters","6457833","L.L.Bean",49.99,69.95,0.0,0,"021","2022-03-13 08:11:45"
"Men's Classic Ragg Wool Shawl Collar Cardigan","Men","Clothing","Sweaters","6460490","L.L.Bean",99.00,99.00,0.0,0,"250","2022-03-13 08:11:45"
"HUGO BOSS Nappi Tipped Crewneck Wool Sweater","Men","Clothing","Sweaters","6464880","BOSS",124.60,178.00,0.0,0,"407","2022-03-13 08:11:45"
"Leno Wool Crewneck Sweater","Men","Clothing","Sweaters","6464894","BOSS",118.50,158.00,0.0,0,"061","2022-03-13 08:11:45"
"Men's Graphic V-Neck Cotton Blend Cardigan","Men","Clothing","Sweaters","6473812","Open Edit",75.00,75.00,0.0,0,"001","2022-03-13 08:11:45"
"Gradient Crewneck Sweater","Men","Clothing","Sweaters","6480850","Scotch & Soda",128.00,128.00,0.0,0,"411","2022-03-13 08:11:45"
"Mélange Recycled Cotton Blend Sweater","Men","Clothing","Sweaters","6480851","Scotch & Soda",128.00,128.00,0.0,0,"410","2022-03-13 08:11:45"
"Merino Wool Crewneck Sweater","Men","Clothing","Sweaters","6500387","Good Man Brand",94.80,158.00,0.0,0,"001","2022-03-13 08:11:45"
"Novaro Cotton & Virgin Wool Cardigan","Men","Clothing","Sweaters","6506341","BOSS",278.60,398.00,0.0,0,"001","2022-03-13 08:11:45"
"Feeder Stripe Crewneck Sweater","Men","Clothing","Sweaters","6514909","Bonobos",79.20,99.00,0.0,0,"400","2022-03-13 08:11:45"
"Hester Stripe Crewneck Sweater","Men","Clothing","Sweaters","6545966","johnnie-O",88.80,148.00,0.0,0,"930","2022-03-13 08:11:45"
"Textured Flame Sweater","Men","Clothing","Sweaters","6552449","ASOS DESIGN",43.00,43.00,0.0,0,"200","2022-03-13 08:11:45"
"Donegal Cable Knit Fisherman Sweater","Men","Clothing","Sweaters","6553301","Madewell",68.97,138.00,0.0,0,"020","2022-03-13 08:11:45"
"Ombré Stripe Sweater","Men","Clothing","Sweaters","6588299","Topman",49.99,65.00,3.0,2,"001","2022-03-13 08:11:45"
"Leno-P Wool Crewneck Sweater","Men","Clothing","Sweaters","6588705","HUGO",94.80,158.00,0.0,0,"513","2022-03-13 08:11:45"
"Welloe Varsity Sweatshirt","Men","Clothing","Sweaters","6593187","Ted Baker London",64.97,165.00,0.0,0,"410","2022-03-13 08:11:45"
